Price,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE
Date,,,,,,,,,,,,
2011-04-06,41.09658432006836,11.837185859680176,59.65999984741211,19.25047492980957,59.900001525878906,19.478178024291992,59.599998474121094,19.23149871826172,59.70000076293945,19.440227508544922,10011200,47601591
2011-04-07,40.97257995605469,11.860523223876953,59.47999954223633,19.28842544555664,59.7599983215332,19.29791259765625,59.25,19.117647171020508,59.720001220703125,19.24098777770996,9232900,46451783
2011-04-08,40.95882034301758,11.936362266540527,59.459999084472656,19.41176414489746,59.779998779296875,19.497154235839844,59.310001373291016,19.26944923400879,59.72999954223633,19.29791259765625,7853200,37154976
2011-04-11,41.234344482421875,12.058879852294922,59.86000061035156,19.611005783081055,60.16999816894531,19.667932510375977,59.5,19.430740356445312,59.540000915527344,19.497154235839844,9845800,39499809
2011-04-12,41.289451599121094,11.936362266540527,59.939998626708984,19.41176414489746,60.08000183105469,19.686906814575195,59.65999984741211,19.383302688598633,59.65999984741211,19.535104751586914,9208000,46458001
2011-04-13,41.05524444580078,11.936362266540527,59.599998474121094,19.41176414489746,59.95000076293945,19.516128540039062,59.5099983215332,19.28842544555664,59.65999984741211,19.4876651763916,10509000,31479818
2011-04-14,41.34456253051758,11.953866958618164,60.02000045776367,19.440227508544922,60.119998931884766,19.554079055786133,59.4900016784668,19.354839324951172,59.54999923706055,19.392789840698242,10436200,51137234
2011-04-15,41.71653747558594,11.977206230163574,60.560001373291016,19.478178024291992,60.95000076293945,19.582542419433594,59.97999954223633,19.29791259765625,60.2400016784668,19.497154235839844,18608500,52141907
2011-04-18,41.64765930175781,11.901363372802734,60.459999084472656,19.354839324951172,61.189998626708984,19.41176414489746,60.099998474121094,19.17457389831543,60.45000076293945,19.2789363861084,20034800,47891441
2011-04-19,43.18377685546875,11.977206230163574,62.689998626708984,19.478178024291992,62.869998931884766,19.525617599487305,61.79999923706055,19.203035354614258,62.0,19.26944923400879,26083100,34810458
